,pod_id_location,boundary
0,96245,Ultra Low Emission Zone
1,57245,Ultra Low Emission Zone
2,83245,Ultra Low Emission Zone
3,8245,Ultra Low Emission Zone
4,36245,Ultra Low Emission Zone
5,9245,Ultra Low Emission Zone
6,22245,Ultra Low Emission Zone
7,10245,Ultra Low Emission Zone
8,77245,Ultra Low Emission Zone
9,89245,Ultra Low Emission Zone
10,172450,Ultra Low Emission Zone
11,85245,Ultra Low Emission Zone
12,59245,Ultra Low Emission Zone
13,24245,Ultra Low Emission Zone
14,88245,Ultra Low Emission Zone
15,44245,Ultra Low Emission Zone
16,84245,Ultra Low Emission Zone
17,47245,Ultra Low Emission Zone
18,2245,Ultra Low Emission Zone
19,25245,Ultra Low Emission Zone
